batch_height,score,level,timestamp_ms,block_height_delta,commit_latency_ms,commit_latency_stddev,tps,tps_acceleration,base_fee,base_fee_delta,equivocation_count,validator_set_size,total_gas_used,block_fullness,empty_block_ratio,time_since_finality_ms,peer_count,mempool_size
103621,1.0,critical,1774264437675,50.0,2.8570001125335693,1.2567616701126099,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103571,1.0,critical,1774264427642,50.0,7.646999835968018,1.2567425966262817,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103521,1.0,critical,1774264417617,50.0,1.3380000591278076,1.0791401863098145,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103471,1.0,critical,1774264407558,50.0,1.2230000495910645,1.6354798078536987,0.20000000298023224,0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103421,1.0,critical,1774264397511,51.0,2.9030001163482666,1.6290034055709839,0.19607843458652496,-0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103370,1.0,critical,1774264387471,50.0,2.572999954223633,1.6358108520507812,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103320,1.0,critical,1774264377442,50.0,3.684999942779541,1.6357941627502441,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103270,1.0,critical,1774264367416,50.0,3.8440001010894775,1.6305419206619263,0.20000000298023224,0.04375000298023224,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103220,1.0,critical,1774264357376,64.0,4.059000015258789,1.6233934164047241,0.15625,-0.04375000298023224,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103156,1.0,critical,1774264344580,50.0,3.618000030517578,1.6236122846603394,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103106,1.0,critical,1774264334561,50.0,1.0180000066757202,1.6191353797912598,0.20000000298023224,0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103056,1.0,critical,1774264324513,51.0,1.5820000171661377,1.6132335662841797,0.19607843458652496,-0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
103005,1.0,critical,1774264314482,50.0,2.5160000324249268,1.6163711547851562,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102955,1.0,critical,1774264304463,50.0,2.76200008392334,1.6197396516799927,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102905,1.0,critical,1774264294427,50.0,2.703000068664551,1.6280847787857056,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102855,1.0,critical,1774264284363,50.0,1.531999945640564,1.6337746381759644,0.20000000298023224,0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102805,1.0,critical,1774264274315,51.0,1.2699999809265137,1.638329029083252,0.19607843458652496,-0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102754,1.0,critical,1774264264277,50.0,2.680000066757202,1.6314457654953003,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102704,1.0,critical,1774264254237,50.0,3.11299991607666,1.6313985586166382,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102654,1.0,critical,1774264244220,50.0,1.5470000505447388,1.6307365894317627,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102604,1.0,critical,1774264234166,50.0,3.075000047683716,1.6293789148330688,0.20000000298023224,0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102554,1.0,critical,1774264224130,51.0,1.3359999656677246,1.6282459497451782,0.19607843458652496,-0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102503,1.0,critical,1774264214096,50.0,1.4559999704360962,1.6355454921722412,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102453,1.0,critical,1774264204076,50.0,1.5210000276565552,1.6329315900802612,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102403,1.0,critical,1774264194040,50.0,2.9070000648498535,1.6316421031951904,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102353,1.0,critical,1774264184008,50.0,3.0199999809265137,1.631060242652893,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102303,1.0,critical,1774264173976,50.0,2.563999891281128,1.6410025358200073,0.20000000298023224,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102253,1.0,critical,1774264163931,50.0,3.434999942779541,1.6428072452545166,0.20000000298023224,0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102203,1.0,critical,1774264153911,51.0,1.0,1.6452763080596924,0.19607843458652496,-0.003921568393707275,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102152,1.0,critical,1774264143843,50.0,2.6659998893737793,1.6350867748260498,0.20000000298023224,0.019999995827674866,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0
102102,1.0,critical,1774264133811,50.0,1.4759999513626099,1.6453101634979248,0.18000000715255737,0.040000006556510925,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0
102052,1.0,critical,1774264123766,50.0,1.097000002861023,1.6781121492385864,0.14000000059604645,0.0027450919151306152,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
102002,1.0,critical,1774264113720,51.0,1.309999942779541,1.675402045249939,0.13725490868091583,-0.0027450919151306152,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
101951,1.0,critical,1774264103680,50.0,2.125999927520752,1.675450086593628,0.14000000059604645,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
101901,1.0,critical,1774264093643,50.0,5.117000102996826,1.6764031648635864,0.14000000059604645,0.020000003278255463,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
101851,1.0,critical,1774264083590,50.0,2.436000108718872,1.6471656560897827,0.11999999731779099,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0
101801,1.0,critical,1774264073569,50.0,1.4839999675750732,1.6482106447219849,0.11999999731779099,0.04156862199306488,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0
101751,1.0,critical,1774264063524,51.0,1.6610000133514404,1.6457222700119019,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101700,1.0,critical,1774264053496,50.0,1.781000018119812,1.6512455940246582,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101650,1.0,critical,1774264043463,50.0,1.6480000019073486,1.6550838947296143,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101600,1.0,critical,1774264033442,50.0,4.173999786376953,1.6582410335540771,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101550,1.0,critical,1774264023396,50.0,4.390999794006348,1.6457074880599976,0.07999999821186066,0.014426231384277344,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101500,1.0,critical,1774264013342,61.0,1.3020000457763672,1.6352105140686035,0.06557376682758331,-0.014426231384277344,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101439,1.0,critical,1774264001274,50.0,1.6480000019073486,1.636013150215149,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101389,1.0,critical,1774263991244,50.0,1.628000020980835,1.6330772638320923,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101339,1.0,critical,1774263981234,50.0,1.8140000104904175,1.6370409727096558,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101289,1.0,critical,1774263971175,51.0,1.4479999542236328,1.6440341472625732,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101238,1.0,critical,1774263961076,50.0,3.8510000705718994,1.6390634775161743,0.07999999821186066,0.014426231384277344,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101188,1.0,critical,1774263951010,61.0,0.9850000143051147,1.6303529739379883,0.06557376682758331,-0.014426231384277344,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101127,1.0,critical,1774263938956,50.0,4.623000144958496,1.6209999322891235,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101077,1.0,critical,1774263928903,50.0,2.8540000915527344,1.5987211465835571,0.07999999821186066,0.013333328068256378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
101027,1.0,critical,1774263918878,60.0,4.815000057220459,1.5979366302490234,0.06666667014360428,-0.013333328068256378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100967,1.0,critical,1774263906839,50.0,4.035999774932861,1.5705406665802002,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100917,1.0,critical,1774263896805,50.0,3.368000030517578,1.557435393333435,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100867,1.0,critical,1774263886754,51.0,0.9049999713897705,1.5546411275863647,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100816,1.0,critical,1774263876693,50.0,2.440000057220459,1.5615049600601196,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100766,1.0,critical,1774263866642,50.0,1.8200000524520874,1.5716787576675415,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100716,1.0,critical,1774263856631,50.0,3.0299999713897705,1.5723862648010254,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100666,1.0,critical,1774263846599,50.0,1.4500000476837158,1.574480414390564,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100616,1.0,critical,1774263836553,50.0,3.694000005722046,1.5716429948806763,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100566,1.0,critical,1774263826533,51.0,3.265000104904175,1.564092993736267,0.0784313753247261,0.011764705181121826,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100515,1.0,critical,1774263816481,60.0,2.5390000343322754,1.565659761428833,0.06666667014360428,-0.013333328068256378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100455,1.0,critical,1774263804448,50.0,1.4390000104904175,1.5706619024276733,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100405,1.0,critical,1774263794440,50.0,2.9619998931884766,1.5670092105865479,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100355,1.0,critical,1774263784414,50.0,2.2019999027252197,1.565104365348816,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100305,1.0,critical,1774263774364,50.0,2.0759999752044678,1.5654592514038086,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100255,1.0,critical,1774263764326,51.0,12.423999786376953,1.567676305770874,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100204,1.0,critical,1774263754256,50.0,1.8519999980926514,0.9270992279052734,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100154,1.0,critical,1774263744222,50.0,3.8499999046325684,0.9279525279998779,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100104,1.0,critical,1774263734184,50.0,2.6459999084472656,0.9054844975471497,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100054,1.0,critical,1774263724148,50.0,2.7739999294281006,0.905024528503418,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
100004,1.0,critical,1774263714110,50.0,2.4149999618530273,0.9029957056045532,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99954,1.0,critical,1774263704089,51.0,1.0740000009536743,0.9025129079818726,0.0784313753247261,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99903,1.0,critical,1774263694069,51.0,3.015000104904175,0.8945793509483337,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99852,1.0,critical,1774263683750,50.0,1.4910000562667847,0.8920266628265381,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99802,1.0,critical,1774263673698,51.0,1.2899999618530273,0.8922774195671082,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99751,1.0,critical,1774263663673,50.0,3.38700008392334,0.8858674764633179,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99701,1.0,critical,1774263653636,50.0,1.2109999656677246,0.8754258751869202,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99651,1.0,critical,1774263643590,50.0,1.4190000295639038,0.867000162601471,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99601,1.0,critical,1774263633541,51.0,1.128000020980835,0.8635014891624451,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99550,1.0,critical,1774263623484,50.0,2.868000030517578,0.8571392297744751,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99500,1.0,critical,1774263613447,50.0,2.4179999828338623,0.8533463478088379,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99450,1.0,critical,1774263603440,50.0,2.9800000190734863,0.8617061972618103,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99400,1.0,critical,1774263593428,50.0,3.378999948501587,0.8562734127044678,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99350,1.0,critical,1774263583369,50.0,2.744999885559082,0.8478673696517944,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99300,1.0,critical,1774263573312,51.0,0.8169999718666077,0.8452472686767578,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99249,1.0,critical,1774263563280,50.0,1.746000051498413,0.827731728553772,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99199,1.0,critical,1774263553246,50.0,1.6619999408721924,0.8297117948532104,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99149,1.0,critical,1774263543231,50.0,2.640000104904175,0.8316762447357178,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99099,1.0,critical,1774263533199,50.0,4.068999767303467,0.8328239917755127,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
99049,1.0,critical,1774263523148,50.0,3.180999994277954,0.805634081363678,0.07999999821186066,0.013333328068256378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98999,1.0,critical,1774263513098,60.0,1.4160000085830688,0.7970873713493347,0.06666667014360428,-0.011764705181121826,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98939,1.0,critical,1774263503072,51.0,2.0439999103546143,0.7939488887786865,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98888,1.0,critical,1774263491022,50.0,1.0720000267028809,0.7958698868751526,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98838,1.0,critical,1774263480967,50.0,5.415999889373779,0.8020504713058472,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98788,1.0,critical,1774263470936,50.0,1.305999994277954,0.7084614038467407,0.07999999821186066,0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98738,1.0,critical,1774263460898,51.0,1.305999994277954,0.7419995665550232,0.0784313753247261,-0.001568622887134552,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98687,1.0,critical,1774263450851,50.0,3.260999917984009,0.7474151849746704,0.07999999821186066,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98637,1.0,critical,1774263440835,50.0,2.9679999351501465,0.7370980978012085,0.07999999821186066,0.013333328068256378,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
98587,1.0,critical,1774263430797,60.0,2.0859999656677246,0.7316649556159973,0.06666667014360428,-0.011764705181121826,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
