timestamp_ms,batch_height,score,block_height_delta,commit_latency_ms,commit_latency_stddev,tps,tps_acceleration,base_fee,base_fee_delta,equivocation_count,validator_set_size,total_gas_used,block_fullness,empty_block_ratio,time_since_finality_ms,peer_count,mempool_size
1773767831129,54,0,54,1.651,0,0,0,1,1,0,3,0,0,0,0,3,0
1773767843175,110,0,56,3.451,0.9,0,0,1,0,0,3,0,0,0,0,3,0
1773767857229,171,0,61,1.468,0.894786,0,0,1,0,0,3,0,0,0,0,3,0
1773767871270,233,0,62,1.873,0.78697085,0,0,1,0,0,3,0,0,0,0,3,0
1773767895410,285,0,52,4.889,1.3154643,0,0,1,0,0,3,0,0,0,0,3,0
1773767909447,335,0,50,5.347,1.562063,0,0,1,0,0,3,0,0,0,0,3,0
1773767921461,387,0,52,2.968,1.4470812,0,0,1,0,0,3,0,0,0,0,3,0
1773767933502,441,0,54,1.009,1.5188975,0,0,1,0,0,3,0,0,0,0,3,0
1773767979675,491,0,50,3.209,1.4369231,0,0,1,0,0,3,0,0,0,0,3,0
1773767991739,542,0,51,8.111,2.0800803,0,0,1,0,0,3,0,0,0,0,3,0
1773768003805,595,0,53,5.793,2.0994294,0,0,1,0,0,3,0,0,0,0,3,0
1773768033904,658,0,63,4.17,2.0158875,0,0,1,0,0,3,0,0,0,0,3,0
1773768047983,711,0,53,4.015,1.9390905,0,0,1,0,0,3,0,0,0,0,3,0
1773768062036,765,0,54,3.483,1.8693055,0,0,1,0,0,3,0,0,0,0,3,0
1773768086118,822,0,57,5.982,1.8954626,0,0,1,0,0,3,0,0,0,0,3,0
1773768102179,873,0,51,25.552,5.5696206,0,0,1,0,0,3,0,0,0,0,3,0
1773768120256,930,0,57,9.55,5.5000405,0,0,1,0,0,3,0,0,0,0,3,0
1773768132297,981,0,51,3.697,5.36001,0,0,1,0,0,3,0,0,0,0,3,0
1773768166427,1002,0.1,21,0,5.351855,0,0,1,0,0,3,0,0,0,30000,3,0
1773768174454,1039,0,37,3.575,5.2264295,0,0,1,0,0,3,0,0,0,0,3,0
1773768192504,1097,0,58,5.861,5.1038465,0,0,1,0,0,3,0,0,0,0,3,0
1773768232732,1129,0.1,32,0,5.095436,0,0,1,0,0,3,0,0,0,30000,3,0
1773768238764,1155,0,26,1.231,5.0363765,0,0,1,0,0,3,0,0,0,0,3,0
1773768252824,1209,0,54,2.788,4.9443126,0,0,1,0,0,3,0,0,0,0,3,0
1773768270869,1260,0,51,4.1,4.8452916,0,0,1,0,0,3,0,0,0,0,3,0
1773768313058,1312,0,52,5.605,4.7555223,0,0,1,0,0,3,0,0,0,0,3,0
1773768329104,1368,0,56,3.685,4.669764,0,0,1,0,0,3,0,0,0,0,3,0
1773768371258,1421,0,53,3.628,4.5888634,0,0,1,0,0,3,0,0,0,0,3,0
1773768592429,7,0.1,7,0,0,0,0,1,1,0,3,0,0,0,30000,3,0
1773768606459,50,0,43,3.172,1.586,0,0,1,0,0,3,0,0,0,0,3,0
1773768628550,103,0,53,5.509,2.2576349,0,0,1,0,0,3,0,0,0,0,3,0
1773768658687,158,0,55,2.137,1.9824324,0,0,1,0,0,3,0,0,0,0,3,0
1773768688800,214,0,56,2.98,1.7765626,0,0,1,0,0,3,0,0,0,0,3,0
1773768722951,264,0,50,3.1,1.6267264,0,0,1,0,0,3,0,0,0,0,3,0
1773768741041,315,0,51,3.865,1.5501167,0,0,1,0,0,3,0,0,0,0,3,0
1773768777204,371,0,56,20.852,6.090319,0.05357143,0.05357143,1,0,0,3,0,0,0,0,3,1
1773768795251,423,0,52,4.559,5.745561,0.26923078,0.21565935,1,0,0,4,0,0,0,0,3,2
1773768815360,474,0,51,18.369,6.744158,0.27450982,0.0052790344,1,0,0,4,0,0,0,0,3,2
1773768847481,528,0,54,2.252,6.5428004,0.42592594,0.15141612,1,0,0,4,0,0,0,0,3,3
1773768869598,578,0,50,2.414,6.345329,0.46,0.034074068,1,0,0,4,0,0,0,0,3,3
1773768887704,631,0,53,2.935,6.142937,0.43396226,-0.026037753,1,0,0,4,0,0,0,0,3,3
1773768923867,644,0.1,13,0,6.089577,0,-0.43396226,1,0,0,4,0,0,0,30000,3,3
1773768933903,685,0,41,3.825,5.892411,0.42592594,0.42592594,1,0,0,4,0,0,0,0,3,3
1773768951976,735,0,50,12.934,6.014902,0.46,0.034074068,1,0,0,4,0,0,0,0,3,3
1773768990127,751,0.1,16,0,5.979979,0,-0.46,1,0,0,4,0,0,0,30000,3,3
1773769000154,787,0,36,7.719,5.8394036,0.44230768,0.44230768,1,0,0,4,0,0,0,0,3,3
1773769018230,837,0,50,11.997,5.8732567,0.46,0.017692327,1,0,0,4,0,0,0,0,3,3
1773769064388,890,0,53,2.515,5.7669168,0.43396226,-0.026037753,1,0,0,4,0,0,0,0,3,3
1773769084481,945,0,55,1.588,5.691042,0.4181818,-0.015780449,1,0,0,4,0,0,0,0,3,3
1773769124627,958,0.1,13,0,5.671499,0,-0.4181818,1,0,0,4,0,0,0,30000,3,3
1773769142693,999,0,41,3.451,5.5573144,0.42592594,0.42592594,1,0,0,4,0,0,0,0,3,3
1773769176845,1052,0,53,2.988,5.4559016,0.43396226,0.008036315,1,0,0,4,0,0,0,0,3,3
1773769198967,1105,0,53,4.503,5.3464365,0.43396226,0,1,0,0,4,0,0,0,0,3,3
1773769221048,1156,0,51,1.845,5.2764335,0.4509804,0.01701814,1,0,0,4,0,0,0,0,3,3
1773769255236,1208,0,52,3.7,5.182174,0.44230768,-0.008672714,1,0,0,4,0,0,0,0,3,3
1773769277343,1259,0,51,3.843,5.0917993,0.4509804,0.008672714,1,0,0,4,0,0,0,0,3,3
1773769317543,1309,0,50,3.225,5.01099,0.46,0.009019613,1,0,0,4,0,0,0,0,3,3
1773769339650,1359,0,50,3.356,4.932662,0.46,0,1,0,0,4,0,0,0,0,3,3
1773769373750,1411,0,52,3.469,4.8569694,0.44230768,-0.017692327,1,0,0,4,0,0,0,0,3,3
1773769393851,1465,0,54,3.679,4.783257,0.42592594,-0.01638174,1,0,0,4,0,0,0,0,3,3
1773769415966,1521,0,56,8.566,4.759357,0.4107143,-0.015211642,1,0,0,4,0,0,0,0,3,3
1773769450144,1573,0,52,4.948,4.689021,0.44230768,0.031593382,1,0,0,4,0,0,0,0,3,3
1773769472266,1625,0,52,2.771,4.632878,0.44230768,0,1,0,0,4,0,0,0,0,3,3
1773769510441,1677,0,52,2.931,4.5768976,0.44230768,0,1,0,0,4,0,0,0,0,3,3
1773769540571,1728,0,51,66.175,10.956691,0.4509804,0.008672714,1,0,0,4,0,0,0,0,3,3
1773769582774,1780,0,52,5.709,10.811941,0.44230768,-0.008672714,1,0,0,4,0,0,0,0,3,3
1773769602854,1830,0,50,3.236,10.683125,0.46,0.017692327,1,0,0,4,0,0,0,0,3,3
1773769647072,1882,0,52,4.031,10.554087,0.44230768,-0.017692327,1,0,0,4,0,0,0,0,3,3
1773769667159,1936,0,54,3.144,10.434746,0.42592594,-0.01638174,1,0,0,4,0,0,0,0,3,3
1773769687252,1986,0,50,3.204,10.318939,0.46,0.034074068,1,0,0,4,0,0,0,0,3,3
1773769721392,2037,0,51,4.039,10.202476,0.4509804,-0.009019613,1,0,0,4,0,0,0,0,3,3
1773769743452,2091,0,54,2.949,10.095736,0.42592594,-0.025054455,1,0,0,4,0,0,0,0,3,3
1773769777601,2143,0,52,3.222,9.990583,0.44230768,0.01638174,1,0,0,4,0,0,0,0,3,3
1773769797674,2194,0,51,3.064,9.889539,0.4509804,0.008672714,1,0,0,4,0,0,0,0,3,3
1773769843874,2244,0,50,1.547,9.802599,0.46,0.009019613,1,0,0,4,0,0,0,0,3,3
1773769870023,2298,0,54,3.288,9.705897,0.42592594,-0.034074068,1,0,0,4,0,0,0,0,3,3
1773769906199,2349,0,51,1.378,9.625024,0.4509804,0.025054455,1,0,0,4,0,0,0,0,3,3
1773769926347,2400,0,51,2.42,9.538232,0.4509804,0,1,0,0,4,0,0,0,0,3,3
1773769944419,2450,0,50,1.139,9.463312,0.46,0.009019613,1,0,0,4,0,0,0,0,3,3
1773769992823,2501,0,51,3.674,9.374815,0.4509804,-0.009019613,1,0,0,4,0,0,0,0,3,3
1773770020951,2551,0,50,10.098,9.308393,0.46,0.009019613,1,0,0,4,0,0,0,0,3,3
1773770061191,2601,0,50,1.241,9.23916,0.46,0,1,0,0,4,0,0,0,0,3,3
1773770083261,2656,0,55,2.405,9.163304,0.4181818,-0.0418182,1,0,0,4,0,0,0,0,3,3
1773770119432,2708,0,52,4.686,9.081493,0.44230768,0.024125874,1,0,0,4,0,0,0,0,3,3
1773770141503,2761,0,53,2.174,9.010814,0.43396226,-0.008345425,1,0,0,4,0,0,0,0,3,3
1773770177804,2812,0,51,1.342,8.947214,0.4509804,0.01701814,1,0,0,4,0,0,0,0,3,3
1773770197872,2862,0,50,4.253,8.871865,0.46,0.009019613,1,0,0,4,0,0,0,0,3,3
1773770217965,2915,0,53,3.926,8.799038,0.43396226,-0.026037753,1,0,0,4,0,0,0,0,3,3
1773770260113,2966,0,51,2.19,8.734648,0.5686275,0.13466522,1,0,0,4,0,0,0,0,3,4
1773770306303,3020,0,54,3.501,8.666234,0.6481481,0.07952064,1,0,0,4,0,0,0,0,3,5
1773770376849,3070,0,50,3.501,8.599402,0.7,0.05185187,1,0,0,4,0,0,0,0,3,5
1773770439096,3120,0,50,3.501,8.534092,0.7,0,1,0,0,4,0,0,0,0,3,5
1773770505388,3173,0,53,3.501,8.512957,0.6603774,-0.039622605,1,0,0,4,0,0,0,0,3,5
1773770567704,3223,0,50,3.501,8.511907,0.7,0.039622605,1,0,0,4,0,0,0,0,3,5
1773770611850,3273,0,50,3.501,8.513954,0.7,0,1,0,0,4,0,0,0,0,3,5
1773770674107,3324,0,51,3.501,8.508356,0.6862745,-0.01372546,1,0,0,4,0,0,0,0,3,5
1773770746456,3374,0,50,3.501,8.506603,0.7,0.01372546,1,0,0,4,0,0,0,0,3,5
1773770851295,3424,0,50,3.501,8.505293,0.7,0,1,0,0,4,0,0,0,0,3,5
1773770931612,3476,0,52,3.501,8.506229,0.6730769,-0.02692306,1,0,0,4,0,0,0,0,3,5
1773770995859,3527,0,51,3.501,8.272344,0.6862745,0.013197601,1,0,0,4,0,0,0,0,3,5
1773771058095,3577,0,50,3.501,8.273871,0.7,0.01372546,1,0,0,4,0,0,0,0,3,5
1773771122356,3628,0,51,3.501,8.096079,0.6862745,-0.01372546,1,0,0,4,0,0,0,0,3,5
1773771184629,3678,0,50,3.501,8.09201,0.7,0.01372546,1,0,0,4,0,0,0,0,3,5
1773771252912,3728,0,50,3.501,8.0885935,0.7,0,1,0,0,4,0,0,0,0,3,5
1773771325235,3779,0,51,3.501,8.0870905,0.6862745,-0.01372546,1,0,0,4,0,0,0,0,3,5
1773771395550,3829,0,50,3.501,8.067606,0.7,0.01372546,1,0,0,4,0,0,0,0,3,5
1773771476045,3880,0,51,3.501,8.068225,0.6862745,-0.01372546,1,0,0,4,0,0,0,0,3,5
1773771572564,3935,0,55,3.501,8.001429,0.6363636,-0.049910903,1,0,0,4,0,0,0,0,3,5
1773771636800,3986,0,51,3.501,7.982406,0.6862745,0.049910903,1,0,0,4,0,0,0,0,3,5
1773771674961,3995,0.1,9,0,7.9920273,0,-0.6862745,1,0,0,4,0,0,0,30000,3,5
1773806723026,12,0.1,12,0,0,0,0,1,1,0,3,0,0,0,30000,3,0
1773806737086,56,0,44,78.199,39.0995,0,0,1,0,0,3,0,0,0,0,3,0
1773806757159,115,0,59,8.905,34.954,0,0,1,0,0,3,0,0,0,0,3,0
1773806799308,165,0,50,2.755,32.339268,0,0,1,0,0,3,0,0,0,0,3,0
1773806813334,217,0,52,2.027,30.058191,0,0,1,0,0,3,0,0,0,0,3,0
1773806861514,276,0,59,3.154,28.01962,0,0,1,0,0,3,0,0,0,0,3,0
1773806877565,338,0,62,3.725,26.28525,0,0,1,0,0,3,0,0,0,0,3,0
1773806925799,389,0,51,3.468,24.838186,0,0,1,0,0,3,0,0,0,0,3,0
1773806945892,441,0,52,5.939,23.516123,0,0,1,0,0,3,0,0,0,0,3,0
1773806994250,496,0,55,3.172,22.466679,0,0,1,0,0,3,0,0,0,0,3,0
1773807010317,549,0,53,4.058,21.517517,0,0,1,0,0,3,0,0,0,0,3,0
1773807056475,579,0.1,30,0,20.804506,0,0,1,0,0,3,0,0,0,30000,3,0
1773807060496,603,0,24,2.749,20.071926,0,0,1,0,0,3,0,0,0,0,3,0
